id	lat	lon	title	description	icon	iconSize	iconOffset
2022	47.7269	18.8435	Szentlélek-templom	<h4 style="margin-top:-20px">(Pilisszentléleki templom)</h4><p><a href="http://miserend.hu/?templom=2022" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2023	47.5604	19.0113	Szent Anna-kápolna	<h4 style="margin-top:-20px">(Szűz Mária Társaság kápolnája)</h4><p><a href="http://miserend.hu/?templom=2023" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2024	47.5928	19.0619	Boldog Özséb-templom	<h4 style="margin-top:-20px">(Pünkösdfürdői templom)</h4><p><a href="http://miserend.hu/?templom=2024" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2025	47.3892	16.5405	Szent Imre templom	<h4 style="margin-top:-20px">(Kőszeg)</h4><p><a href="http://miserend.hu/?templom=2025" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2026	47.8062	22.6253	Nagyboldogasszony kápolna	<h4 style="margin-top:-20px">(Csengerújfalu)</h4><p><a href="http://miserend.hu/?templom=2026" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2027	47.8686	22.6181	Szent István király templom	<h4 style="margin-top:-20px">(Pátyod)</h4><p><a href="http://miserend.hu/?templom=2027" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2028	47.5274	19.0374	Sarlós Boldogasszony templom	<h4 style="margin-top:-20px">(Újlaki templom)</h4><p><a href="http://miserend.hu/?templom=2028" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2029	47.5432	19.0395	Szent József-kápolna	<h4 style="margin-top:-20px">(Kórház utcai kápolna)</h4><p><a href="http://miserend.hu/?templom=2029" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2030	47.9061	22.805	Szent György templom	<h4 style="margin-top:-20px">(Zajta)</h4><p><a href="http://miserend.hu/?templom=2030" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2031	47.3306	17.6853	Szent Borbála Templom	<h4 style="margin-top:-20px">(Bakonykoppány)</h4><p><a href="http://miserend.hu/?templom=2031" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
